Vecka,Unnamed: 0,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
39.0,,86.0,88.6,72.0,66.0,79.4,89.6,63.8,83.9,70.7,75.6,73.74,90.4,88.3,72.8,69.5,89.2,69.0,79.6,67.9
40.0,,84.5,88.7,70.5,66.3,80.9,89.2,65.5,84.0,70.6,76.3,73.25,90.71,89.16,72.11,69.6,91.1,68.3,80.7,68.8
41.0,,84.8,90.3,68.4,66.0,82.0,88.3,66.7,83.5,71.5,75.5,71.51,90.05,89.4,72.1,69.8,90.1,66.4,81.0,70.0
42.0,,84.5,90.3,66.1,64.9,81.3,86.9,67.7,83.8,72.3,74.3,70.0,90.19,89.02,70.52,69.5,88.3,64.7,81.6,71.2
43.0,,83.8,89.1,64.2,63.1,80.6,85.2,68.9,84.1,72.2,73.0,68.53,89.88,87.41,70.17,70.2,87.1,63.2,81.4,71.1
44.0,,84.5,88.6,61.9,62.2,80.2,85.2,68.2,84.0,71.1,71.3,67.69,90.44,86.1,71.48,71.7,85.3,61.4,80.9,70.5
45.0,,82.6,87.2,59.3,61.5,79.6,84.7,67.8,83.1,69.6,69.7,65.65,89.94,84.82,71.11,71.6,85.0,58.5,79.9,69.8
46.0,,85.0,85.7,56.6,59.9,79.2,83.1,67.4,81.6,68.3,67.6,63.04,88.73,83.78,70.6,71.0,83.8,57.6,78.1,70.7
47.0,,84.4,83.8,53.9,58.0,77.6,81.6,67.5,79.9,66.1,67.4,59.7,87.58,82.89,69.46,69.0,81.3,57.0,76.2,68.5
48.0,,83.8,81.6,51.6,55.9,75.5,79.1,68.0,78.0,63.7,67.6,55.99,85.93,80.47,68.73,67.3,79.0,55.5,73.9,65.9
49.0,,82.7,78.8,49.3,54.3,73.3,76.6,68.1,76.7,61.2,66.0,52.73,83.94,76.95,67.41,65.6,77.6,54.8,72.3,64.3
50.0,,81.7,76.2,47.0,52.4,71.0,73.7,67.3,74.5,58.2,63.9,49.8,81.68,73.24,67.1,63.9,75.4,52.7,69.4,61.2
51.0,,78.9,73.5,45.0,50.3,68.9,70.7,66.9,72.7,55.6,60.6,46.94,79.17,69.67,66.57,62.0,73.1,52.9,67.5,57.8
52.0,,76.2,70.7,43.1,48.9,66.6,67.6,66.2,72.1,53.5,58.2,44.4,77.07,67.32,66.54,59.8,73.1,53.2,65.9,55.4
,,,,,,64.3,,,,,54.9,,,,,,70.8,,,
,,,,,,,,,,,,,,,,,,,,
